,Confidence,Detected,DetectedClass,class,filename,height,loc_Accuracy,min_tresh,width,xmax,xmin,ymax,ymin
7,0.9522573947906494,False,T-Shirt_Regular,Shirt_Polo,7.jpg,600.0,0.8739070629648181,0.6,600.0,473.0,149.0,560.0,142.0
7,0.9522573947906494,False,T-Shirt_Regular,Shirt_Polo,7.jpg,600.0,0.8739070629648181,0.8,600.0,473.0,149.0,560.0,142.0
8,0.9208526015281677,False,T-Shirt_Regular,Shirt_Polo,8.jpg,800.0,0.0,0.2,722.0,646.0,117.0,766.0,224.0
8,0.9208526015281677,False,T-Shirt_Regular,Shirt_Polo,8.jpg,800.0,0.0,0.4,722.0,646.0,117.0,766.0,224.0
8,0.9208526015281677,False,T-Shirt_Regular,Shirt_Polo,8.jpg,800.0,0.0,0.6,722.0,646.0,117.0,766.0,224.0
8,0.9208526015281677,False,T-Shirt_Regular,Shirt_Polo,8.jpg,800.0,0.0,0.8,722.0,646.0,117.0,766.0,224.0
9,0.5202059149742126,True,Shirt_Polo,Shirt_Polo,9.jpg,420.0,0.7777176783337832,0.2,629.0,423.0,204.0,374.0,105.0
9,0.5202059149742126,True,Shirt_Polo,Shirt_Polo,9.jpg,420.0,0.7777176783337832,0.4,629.0,423.0,204.0,374.0,105.0
9,0.6464756727218628,False,Shirt_LongSleeves,Shirt_Polo,9.jpg,420.0,0.7777176783337832,0.6,629.0,423.0,204.0,374.0,105.0
9,0.6464756727218628,False,UnDetected,Shirt_Polo,9.jpg,420.0,0.7777176783337832,0.8,629.0,423.0,204.0,374.0,105.0
0,0.28842079639434814,True,Shirt_Regular,Shirt_Regular,1.jpg,452.0,0.8843722927291258,0.2,361.0,270.0,1.0,420.0,87.0
0,0.895167350769043,False,Shirt_LongSleeves,Shirt_Regular,1.jpg,452.0,0.8843722927291258,0.4,361.0,270.0,1.0,420.0,87.0
0,0.895167350769043,False,Shirt_LongSleeves,Shirt_Regular,1.jpg,452.0,0.8843722927291258,0.6,361.0,270.0,1.0,420.0,87.0
0,0.895167350769043,False,Shirt_LongSleeves,Shirt_Regular,1.jpg,452.0,0.8843722927291258,0.8,361.0,270.0,1.0,420.0,87.0
1,0.5852925777435303,True,Shirt_Regular,Shirt_Regular,10.jpg,251.0,0.9155879607482862,0.2,201.0,128.0,1.0,219.0,51.0
1,0.5852925777435303,True,Shirt_Regular,Shirt_Regular,10.jpg,251.0,0.9155879607482862,0.4,201.0,128.0,1.0,219.0,51.0
1,0.5852925777435303,False,UnDetected,Shirt_Regular,10.jpg,251.0,0.9155879607482862,0.6,201.0,128.0,1.0,219.0,51.0
1,0.5852925777435303,False,UnDetected,Shirt_Regular,10.jpg,251.0,0.9155879607482862,0.8,201.0,128.0,1.0,219.0,51.0
2,0.5156365633010864,True,Shirt_Regular,Shirt_Regular,2.jpg,452.0,0.8652188901524924,0.2,361.0,287.0,82.0,381.0,87.0
2,0.5156365633010864,True,Shirt_Regular,Shirt_Regular,2.jpg,452.0,0.8652188901524924,0.4,361.0,287.0,82.0,381.0,87.0
2,0.6376950740814209,False,Shirt_Polo,Shirt_Regular,2.jpg,452.0,0.8652188901524924,0.6,361.0,287.0,82.0,381.0,87.0
2,0.6376950740814209,False,UnDetected,Shirt_Regular,2.jpg,452.0,0.8652188901524924,0.8,361.0,287.0,82.0,381.0,87.0
3,0.20600996911525726,True,Shirt_Regular,Shirt_Regular,3.jpg,452.0,0.8918353688519207,0.2,361.0,277.0,63.0,375.0,113.0
3,0.9066396355628967,False,Shirt_LongSleeves,Shirt_Regular,3.jpg,452.0,0.8918353688519207,0.4,361.0,277.0,63.0,375.0,113.0
3,0.9066396355628967,False,Shirt_LongSleeves,Shirt_Regular,3.jpg,452.0,0.8918353688519207,0.6,361.0,277.0,63.0,375.0,113.0
3,0.9066396355628967,False,Shirt_LongSleeves,Shirt_Regular,3.jpg,452.0,0.8918353688519207,0.8,361.0,277.0,63.0,375.0,113.0
4,0.8872273564338684,False,Shirt_LongSleeves,Shirt_Regular,4.jpg,320.0,0.0,0.2,246.0,199.0,54.0,254.0,54.0
4,0.8872273564338684,False,Shirt_LongSleeves,Shirt_Regular,4.jpg,320.0,0.0,0.4,246.0,199.0,54.0,254.0,54.0
4,0.8872273564338684,False,Shirt_LongSleeves,Shirt_Regular,4.jpg,320.0,0.0,0.6,246.0,199.0,54.0,254.0,54.0
4,0.8872273564338684,False,Shirt_LongSleeves,Shirt_Regular,4.jpg,320.0,0.0,0.8,246.0,199.0,54.0,254.0,54.0
5,0.2939209043979645,True,Shirt_Regular,Shirt_Regular,5.jpeg,800.0,0.7138395227862314,0.2,800.0,653.0,150.0,602.0,194.0
5,0.9548708200454712,False,trouser_Regular,Shirt_Regular,5.jpeg,800.0,0.7138395227862314,0.4,800.0,653.0,150.0,602.0,194.0
5,0.9548708200454712,False,trouser_Regular,Shirt_Regular,5.jpeg,800.0,0.7138395227862314,0.6,800.0,653.0,150.0,602.0,194.0
5,0.9548708200454712,False,trouser_Regular,Shirt_Regular,5.jpeg,800.0,0.7138395227862314,0.8,800.0,653.0,150.0,602.0,194.0
6,0.9178004264831543,True,Shirt_Regular,Shirt_Regular,6.jpg,225.0,0.8697467301140517,0.2,225.0,185.0,45.0,179.0,61.0
6,0.9178004264831543,True,Shirt_Regular,Shirt_Regular,6.jpg,225.0,0.8697467301140517,0.4,225.0,185.0,45.0,179.0,61.0
6,0.9178004264831543,True,Shirt_Regular,Shirt_Regular,6.jpg,225.0,0.8697467301140517,0.6,225.0,185.0,45.0,179.0,61.0
6,0.9178004264831543,True,Shirt_Regular,Shirt_Regular,6.jpg,225.0,0.8697467301140517,0.8,225.0,185.0,45.0,179.0,61.0
7,0.8614428639411926,True,Shirt_Regular,Shirt_Regular,7.jpg,267.0,0.7902897652014756,0.2,189.0,156.0,37.0,235.0,59.0
7,0.8614428639411926,True,Shirt_Regular,Shirt_Regular,7.jpg,267.0,0.7902897652014756,0.4,189.0,156.0,37.0,235.0,59.0
7,0.8614428639411926,True,Shirt_Regular,Shirt_Regular,7.jpg,267.0,0.7902897652014756,0.6,189.0,156.0,37.0,235.0,59.0
7,0.8614428639411926,True,Shirt_Regular,Shirt_Regular,7.jpg,267.0,0.7902897652014756,0.8,189.0,156.0,37.0,235.0,59.0
8,0.24489833414554596,True,Shirt_Regular,Shirt_Regular,8.jpg,254.0,0.8243582099138256,0.2,198.0,195.0,5.0,196.0,23.0
8,0.9954772591590881,False,Shirt_LongSleeves,Shirt_Regular,8.jpg,254.0,0.8243582099138256,0.4,198.0,195.0,5.0,196.0,23.0
8,0.9954772591590881,False,Shirt_LongSleeves,Shirt_Regular,8.jpg,254.0,0.8243582099138256,0.6,198.0,195.0,5.0,196.0,23.0
8,0.9954772591590881,False,Shirt_LongSleeves,Shirt_Regular,8.jpg,254.0,0.8243582099138256,0.8,198.0,195.0,5.0,196.0,23.0
9,0.40668952465057373,True,Shirt_Regular,Shirt_Regular,9.jpg,251.0,0.7552892040604565,0.2,201.0,185.0,16.0,204.0,59.0
9,0.40668952465057373,True,Shirt_Regular,Shirt_Regular,9.jpg,251.0,0.7552892040604565,0.4,201.0,185.0,16.0,204.0,59.0
9,0.9653031826019287,False,Shirt_LongSleeves,Shirt_Regular,9.jpg,251.0,0.7552892040604565,0.6,201.0,185.0,16.0,204.0,59.0
9,0.9653031826019287,False,Shirt_LongSleeves,Shirt_Regular,9.jpg,251.0,0.7552892040604565,0.8,201.0,185.0,16.0,204.0,59.0
0,0.9959030747413635,True,Suit_Regular,Suit_Regular,1.jpg,617.0,0.7507673322573643,0.2,1020.0,1011.0,591.0,617.0,159.0
0,0.9959030747413635,True,Suit_Regular,Suit_Regular,1.jpg,617.0,0.7507673322573643,0.4,1020.0,1011.0,591.0,617.0,159.0
0,0.9959030747413635,True,Suit_Regular,Suit_Regular,1.jpg,617.0,0.7507673322573643,0.6,1020.0,1011.0,591.0,617.0,159.0
0,0.9959030747413635,True,Suit_Regular,Suit_Regular,1.jpg,617.0,0.7507673322573643,0.8,1020.0,1011.0,591.0,617.0,159.0
1,0.6822547912597656,True,Suit_Regular,Suit_Regular,10.jpg,1080.0,0.7448886104367626,0.2,1080.0,812.0,294.0,841.0,230.0
1,0.6822547912597656,True,Suit_Regular,Suit_Regular,10.jpg,1080.0,0.7448886104367626,0.4,1080.0,812.0,294.0,841.0,230.0
1,0.6822547912597656,True,Suit_Regular,Suit_Regular,10.jpg,1080.0,0.7448886104367626,0.6,1080.0,812.0,294.0,841.0,230.0
1,0.9829487800598145,False,Tie,Suit_Regular,10.jpg,1080.0,0.7448886104367626,0.8,1080.0,812.0,294.0,841.0,230.0
2,0.997636079788208,True,Suit_Regular,Suit_Regular,2.jpg,582.0,0.8683545110124838,0.2,920.0,753.0,170.0,581.0,218.0
2,0.997636079788208,True,Suit_Regular,Suit_Regular,2.jpg,582.0,0.8683545110124838,0.4,920.0,753.0,170.0,581.0,218.0
2,0.997636079788208,True,Suit_Regular,Suit_Regular,2.jpg,582.0,0.8683545110124838,0.6,920.0,753.0,170.0,581.0,218.0
2,0.997636079788208,True,Suit_Regular,Suit_Regular,2.jpg,582.0,0.8683545110124838,0.8,920.0,753.0,170.0,581.0,218.0
3,0.9983018636703491,True,Suit_Regular,Suit_Regular,3.jpg,244.0,0.7610204444802438,0.2,244.0,183.0,64.0,212.0,59.0
3,0.9983018636703491,True,Suit_Regular,Suit_Regular,3.jpg,244.0,0.7610204444802438,0.4,244.0,183.0,64.0,212.0,59.0
3,0.9983018636703491,True,Suit_Regular,Suit_Regular,3.jpg,244.0,0.7610204444802438,0.6,244.0,183.0,64.0,212.0,59.0
3,0.9983018636703491,True,Suit_Regular,Suit_Regular,3.jpg,244.0,0.7610204444802438,0.8,244.0,183.0,64.0,212.0,59.0
4,0.9983981251716614,True,Suit_Regular,Suit_Regular,4.jpg,1168.0,0.7531565310421467,0.2,900.0,561.0,109.0,879.0,240.0
4,0.9983981251716614,True,Suit_Regular,Suit_Regular,4.jpg,1168.0,0.7531565310421467,0.4,900.0,561.0,109.0,879.0,240.0
4,0.9983981251716614,True,Suit_Regular,Suit_Regular,4.jpg,1168.0,0.7531565310421467,0.6,900.0,561.0,109.0,879.0,240.0
4,0.9983981251716614,True,Suit_Regular,Suit_Regular,4.jpg,1168.0,0.7531565310421467,0.8,900.0,561.0,109.0,879.0,240.0
5,0.971820056438446,True,Suit_Regular,Suit_Regular,5.jpg,572.0,0.8375611865313842,0.2,450.0,410.0,85.0,508.0,135.0
5,0.971820056438446,True,Suit_Regular,Suit_Regular,5.jpg,572.0,0.8375611865313842,0.4,450.0,410.0,85.0,508.0,135.0
5,0.971820056438446,True,Suit_Regular,Suit_Regular,5.jpg,572.0,0.8375611865313842,0.6,450.0,410.0,85.0,508.0,135.0
5,0.971820056438446,True,Suit_Regular,Suit_Regular,5.jpg,572.0,0.8375611865313842,0.8,450.0,410.0,85.0,508.0,135.0
6,0.9423803091049194,True,Suit_Regular,Suit_Regular,6.jpg,159.0,0.8460885641788158,0.2,316.0,260.0,58.0,159.0,84.0
6,0.9423803091049194,True,Suit_Regular,Suit_Regular,6.jpg,159.0,0.8460885641788158,0.4,316.0,260.0,58.0,159.0,84.0
6,0.9423803091049194,True,Suit_Regular,Suit_Regular,6.jpg,159.0,0.8460885641788158,0.6,316.0,260.0,58.0,159.0,84.0
6,0.9423803091049194,True,Suit_Regular,Suit_Regular,6.jpg,159.0,0.8460885641788158,0.8,316.0,260.0,58.0,159.0,84.0
7,0.2668878734111786,True,Suit_Regular,Suit_Regular,7.jpg,274.0,0.7253799932992547,0.2,184.0,178.0,54.0,218.0,54.0
7,0.7691922187805176,False,Dress_Casual,Suit_Regular,7.jpg,274.0,0.7253799932992547,0.4,184.0,178.0,54.0,218.0,54.0
7,0.7691922187805176,False,Dress_Casual,Suit_Regular,7.jpg,274.0,0.7253799932992547,0.6,184.0,178.0,54.0,218.0,54.0
7,0.7691922187805176,False,UnDetected,Suit_Regular,7.jpg,274.0,0.7253799932992547,0.8,184.0,178.0,54.0,218.0,54.0
8,0.9990999698638916,True,Suit_Regular,Suit_Regular,8.jpg,800.0,0.7317728224027338,0.2,800.0,683.0,164.0,703.0,129.0
8,0.9990999698638916,True,Suit_Regular,Suit_Regular,8.jpg,800.0,0.7317728224027338,0.4,800.0,683.0,164.0,703.0,129.0
8,0.9990999698638916,True,Suit_Regular,Suit_Regular,8.jpg,800.0,0.7317728224027338,0.6,800.0,683.0,164.0,703.0,129.0
8,0.9990999698638916,True,Suit_Regular,Suit_Regular,8.jpg,800.0,0.7317728224027338,0.8,800.0,683.0,164.0,703.0,129.0
9,0.997479259967804,True,Suit_Regular,Suit_Regular,9.jpg,550.0,0.9152152216857508,0.2,900.0,853.0,145.0,550.0,299.0
9,0.997479259967804,True,Suit_Regular,Suit_Regular,9.jpg,550.0,0.9152152216857508,0.4,900.0,853.0,145.0,550.0,299.0
9,0.997479259967804,True,Suit_Regular,Suit_Regular,9.jpg,550.0,0.9152152216857508,0.6,900.0,853.0,145.0,550.0,299.0
9,0.997479259967804,True,Suit_Regular,Suit_Regular,9.jpg,550.0,0.9152152216857508,0.8,900.0,853.0,145.0,550.0,299.0
0,0.9713090658187866,False,T-Shirt_Regular,T-Shirt_LongSleeves,1.jpg,259.0,0.0,0.2,194.0,162.0,28.0,247.0,76.0
0,0.9713090658187866,False,T-Shirt_Regular,T-Shirt_LongSleeves,1.jpg,259.0,0.0,0.4,194.0,162.0,28.0,247.0,76.0
0,0.9713090658187866,False,T-Shirt_Regular,T-Shirt_LongSleeves,1.jpg,259.0,0.0,0.6,194.0,162.0,28.0,247.0,76.0
0,0.9713090658187866,False,T-Shirt_Regular,T-Shirt_LongSleeves,1.jpg,259.0,0.0,0.8,194.0,162.0,28.0,247.0,76.0
1,0.22687576711177826,True,T-Shirt_LongSleeves,T-Shirt_LongSleeves,10.jpg,1024.0,0.8190602339912133,0.2,732.0,588.0,143.0,852.0,260.0
1,0.932685911655426,False,Shoe,T-Shirt_LongSleeves,10.jpg,1024.0,0.8190602339912133,0.4,732.0,588.0,143.0,852.0,260.0
1,0.932685911655426,False,Shoe,T-Shirt_LongSleeves,10.jpg,1024.0,0.8190602339912133,0.6,732.0,588.0,143.0,852.0,260.0
1,0.932685911655426,False,Shoe,T-Shirt_LongSleeves,10.jpg,1024.0,0.8190602339912133,0.8,732.0,588.0,143.0,852.0,260.0
2,0.8919520974159241,False,Top_Casual,T-Shirt_LongSleeves,2.jpg,275.0,0.0,0.2,183.0,161.0,26.0,245.0,69.0
2,0.8919520974159241,False,Top_Casual,T-Shirt_LongSleeves,2.jpg,275.0,0.0,0.4,183.0,161.0,26.0,245.0,69.0
2,0.8919520974159241,False,Top_Casual,T-Shirt_LongSleeves,2.jpg,275.0,0.0,0.6,183.0,161.0,26.0,245.0,69.0
2,0.8919520974159241,False,Top_Casual,T-Shirt_LongSleeves,2.jpg,275.0,0.0,0.8,183.0,161.0,26.0,245.0,69.0
3,0.8040224313735962,False,Shirt_LongSleeves,T-Shirt_LongSleeves,3.jpg,245.0,0.0,0.2,206.0,160.0,38.0,208.0,62.0
3,0.8040224313735962,False,Shirt_LongSleeves,T-Shirt_LongSleeves,3.jpg,245.0,0.0,0.4,206.0,160.0,38.0,208.0,62.0
3,0.8040224313735962,False,Shirt_LongSleeves,T-Shirt_LongSleeves,3.jpg,245.0,0.0,0.6,206.0,160.0,38.0,208.0,62.0
3,0.8040224313735962,False,Shirt_LongSleeves,T-Shirt_LongSleeves,3.jpg,245.0,0.0,0.8,206.0,160.0,38.0,208.0,62.0
4,0.9470841288566589,False,T-Shirt_Regular,T-Shirt_LongSleeves,4.jpg,257.0,0.0,0.2,196.0,189.0,6.0,247.0,13.0
4,0.9470841288566589,False,T-Shirt_Regular,T-Shirt_LongSleeves,4.jpg,257.0,0.0,0.4,196.0,189.0,6.0,247.0,13.0
4,0.9470841288566589,False,T-Shirt_Regular,T-Shirt_LongSleeves,4.jpg,257.0,0.0,0.6,196.0,189.0,6.0,247.0,13.0
4,0.9470841288566589,False,T-Shirt_Regular,T-Shirt_LongSleeves,4.jpg,257.0,0.0,0.8,196.0,189.0,6.0,247.0,13.0
5,0.8313778042793274,False,Shirt_Polo,T-Shirt_LongSleeves,5.jpg,276.0,0.0,0.2,183.0,161.0,34.0,264.0,78.0
5,0.8313778042793274,False,Shirt_Polo,T-Shirt_LongSleeves,5.jpg,276.0,0.0,0.4,183.0,161.0,34.0,264.0,78.0
5,0.8313778042793274,False,Shirt_Polo,T-Shirt_LongSleeves,5.jpg,276.0,0.0,0.6,183.0,161.0,34.0,264.0,78.0
5,0.8313778042793274,False,Shirt_Polo,T-Shirt_LongSleeves,5.jpg,276.0,0.0,0.8,183.0,161.0,34.0,264.0,78.0
6,0.8091803789138794,False,T-Shirt_Regular,T-Shirt_LongSleeves,6.jpg,256.0,0.0,0.2,197.0,177.0,19.0,210.0,24.0
6,0.8091803789138794,False,T-Shirt_Regular,T-Shirt_LongSleeves,6.jpg,256.0,0.0,0.4,197.0,177.0,19.0,210.0,24.0
6,0.8091803789138794,False,T-Shirt_Regular,T-Shirt_LongSleeves,6.jpg,256.0,0.0,0.6,197.0,177.0,19.0,210.0,24.0
6,0.8091803789138794,False,T-Shirt_Regular,T-Shirt_LongSleeves,6.jpg,256.0,0.0,0.8,197.0,177.0,19.0,210.0,24.0
7,0.22606240212917328,True,T-Shirt_LongSleeves,T-Shirt_LongSleeves,7.jpg,251.0,0.8089366876550906,0.2,201.0,177.0,43.0,241.0,69.0
7,0.8576674461364746,False,Shirt_Polo,T-Shirt_LongSleeves,7.jpg,251.0,0.8089366876550906,0.4,201.0,177.0,43.0,241.0,69.0
7,0.8576674461364746,False,Shirt_Polo,T-Shirt_LongSleeves,7.jpg,251.0,0.8089366876550906,0.6,201.0,177.0,43.0,241.0,69.0
7,0.8576674461364746,False,Shirt_Polo,T-Shirt_LongSleeves,7.jpg,251.0,0.8089366876550906,0.8,201.0,177.0,43.0,241.0,69.0
8,0.8096411824226379,False,Shirt_LongSleeves,T-Shirt_LongSleeves,8.jpg,225.0,0.0,0.2,225.0,196.0,32.0,211.0,16.0
8,0.8096411824226379,False,Shirt_LongSleeves,T-Shirt_LongSleeves,8.jpg,225.0,0.0,0.4,225.0,196.0,32.0,211.0,16.0
8,0.8096411824226379,False,Shirt_LongSleeves,T-Shirt_LongSleeves,8.jpg,225.0,0.0,0.6,225.0,196.0,32.0,211.0,16.0
8,0.8096411824226379,False,Shirt_LongSleeves,T-Shirt_LongSleeves,8.jpg,225.0,0.0,0.8,225.0,196.0,32.0,211.0,16.0
9,0.9926562309265137,False,T-Shirt_Regular,T-Shirt_LongSleeves,9.jpg,200.0,0.0,0.2,362.0,270.0,100.0,186.0,54.0
9,0.9926562309265137,False,T-Shirt_Regular,T-Shirt_LongSleeves,9.jpg,200.0,0.0,0.4,362.0,270.0,100.0,186.0,54.0
9,0.9926562309265137,False,T-Shirt_Regular,T-Shirt_LongSleeves,9.jpg,200.0,0.0,0.6,362.0,270.0,100.0,186.0,54.0
9,0.9926562309265137,False,T-Shirt_Regular,T-Shirt_LongSleeves,9.jpg,200.0,0.0,0.8,362.0,270.0,100.0,186.0,54.0
