,filename,width,height,class,xmin,ymin,xmax,ymax
526,High-Heel_13.jpg,187,270,High-Heel,4,109,100,235
527,High-Heel_13.jpg,187,270,High-Heel,99,72,187,208
528,High-Heel_14.jpg,187,270,High-Heel,7,119,104,258
529,High-Heel_14.jpg,187,270,High-Heel,85,97,180,230
530,High-Heel_15.jpg,186,270,High-Heel,1,116,78,245
531,High-Heel_15.jpg,186,270,High-Heel,84,158,185,262
532,High-Heel_16.jpg,187,270,High-Heel,26,118,100,216
533,High-Heel_16.jpg,187,270,High-Heel,86,97,169,223
534,High-Heel_17.jpg,275,183,High-Heel,3,93,92,181
535,High-Heel_17.jpg,275,183,High-Heel,147,43,275,179
536,High-Heel_18.jpg,225,225,High-Heel,13,104,121,220
537,High-Heel_18.jpg,225,225,High-Heel,126,69,223,195
538,High-Heel_19.jpg,1280,720,High-Heel,329,136,967,642
539,High-Heel_2.jpg,314,400,High-Heel,39,187,180,333
540,High-Heel_2.jpg,314,400,High-Heel,170,174,285,338
541,High-Heel_21.jpg,600,900,High-Heel,27,291,358,730
542,High-Heel_21.jpg,600,900,High-Heel,203,419,594,791
543,High-Heel_3.jpg,513,655,High-Heel,33,250,234,535
544,High-Heel_3.jpg,513,655,High-Heel,204,307,489,585
545,High-Heel_4.jpg,350,375,High-Heel,23,190,181,347
546,High-Heel_4.jpg,350,375,High-Heel,171,227,308,363
547,High-Heel_5.jpg,217,232,High-Heel,30,136,117,218
548,High-Heel_5.jpg,217,232,High-Heel,106,118,193,208
549,High-Heel_6.jpg,178,284,High-Heel,2,94,90,244
550,High-Heel_6.jpg,178,284,High-Heel,73,94,178,257
551,High-Heel_7.jpg,1920,1277,High-Heel,16,221,1028,1170
552,High-Heel_7.jpg,1920,1277,High-Heel,926,340,1910,1232
553,High-Heel_8.jpg,480,360,High-Heel,31,86,266,360
554,High-Heel_8.jpg,480,360,High-Heel,232,14,469,287
555,High-Heel_9.jpg,225,225,High-Heel,7,39,177,225
556,High-Heel_9.jpg,225,225,High-Heel,153,44,218,196
557,Jacket_Regular_10.jpg,1200,1200,Jacket_Regular,131,102,1105,1163
558,Jacket_Regular_11.jpg,1400,1000,Jacket_Regular,116,160,695,923
559,Jacket_Regular_12.jpg,203,249,Jacket_Regular,44,63,166,208
560,Jacket_Regular_14.jpg,188,268,Jacket_Regular,1,32,187,262
561,Jacket_Regular_15.jpg,612,408,Jacket_Regular,46,129,303,389
562,Jacket_Regular_17.jpg,780,1196,Jacket_Regular,4,37,712,988
563,Jacket_Regular_18.jpg,1000,1000,Jacket_Regular,170,78,792,815
564,Jacket_Regular_19.jpg,194,259,Jacket_Regular,44,66,161,230
565,Jacket_Regular_20.jpg,199,253,Jacket_Regular,13,7,171,190
566,Jacket_Regular_22.jpg,199,253,Jacket_Regular,12,10,199,212
567,Jacket_Regular_23.jpg,197,256,Jacket_Regular,25,12,174,197
568,Jacket_Regular_24.jpg,199,253,Jacket_Regular,7,8,175,206
569,Jacket_Regular_25.jpg,225,225,Jacket_Regular,28,12,197,218
570,Jacket_Regular_26.jpg,194,259,Jacket_Regular,38,59,156,218
571,Jacket_Regular_27.jpg,183,275,Jacket_Regular,5,9,182,241
572,Jacket_Regular_28.jpg,203,248,Jacket_Regular,31,54,172,225
573,Jacket_Regular_29.jpg,187,270,Jacket_Regular,31,64,161,249
574,Jacket_Regular_30.jpg,201,250,Jacket_Regular,4,9,199,216
575,Jacket_Regular_31.jpg,552,551,Jacket_Regular,81,8,492,466
576,Jacket_Regular_32.jpg,154,220,Jacket_Regular,1,4,154,215
577,Jacket_Regular_33.jpg,176,258,Jacket_Regular,2,37,176,256
578,Jacket_Regular_34.jpg,112,130,Jacket_Regular,1,1,112,127
579,Jacket_Regular_35.jpg,146,220,Jacket_Regular,1,3,145,206
580,Jacket_Regular_36.jpg,176,208,Jacket_Regular,1,1,172,200
581,Jacket_Regular_37.jpg,194,248,Jacket_Regular,1,3,193,228
582,Jacket_Regular_38.jpg,140,196,Jacket_Regular,1,1,138,172
583,Jacket_Regular_39.jpg,194,254,Jacket_Regular,1,4,193,254
584,Jacket_Regular_4.jpg,320,320,Jacket_Regular,79,68,240,278
585,Jacket_Regular_40.jpg,268,268,Jacket_Regular,1,7,258,246
586,Jacket_Regular_41.jpg,150,258,Jacket_Regular,3,37,143,241
587,Jacket_Regular_42.jpg,102,156,Jacket_Regular,1,9,100,148
588,Jacket_Regular_43.jpg,98,120,Jacket_Regular,1,6,96,110
589,Jacket_Regular_44.jpg,208,240,Jacket_Regular,3,10,208,228
590,Jacket_Regular_45.jpg,266,238,Jacket_Regular,3,2,266,233
591,Jacket_Regular_46.jpg,246,236,Jacket_Regular,3,4,243,233
592,Jacket_Regular_47.jpg,216,264,Jacket_Regular,1,2,212,264
593,Jacket_Regular_48.jpg,162,260,Jacket_Regular,4,51,162,247
594,Jacket_Regular_49.jpg,172,244,Jacket_Regular,2,2,169,237
595,Jacket_Regular_5.jpg,500,613,Jacket_Regular,60,48,443,523
596,Jacket_Regular_50.jpg,196,216,Jacket_Regular,2,7,196,213
597,Jacket_Regular_51.jpg,240,254,Jacket_Regular,2,25,240,251
598,Jacket_Regular_52.jpg,186,222,Jacket_Regular,1,2,186,214
599,Jacket_Regular_53.jpg,188,262,Jacket_Regular,2,3,188,240
600,Jacket_Regular_54.jpg,102,116,Jacket_Regular,1,2,102,110
601,Jacket_Regular_55.jpg,166,228,Jacket_Regular,10,12,163,228
602,Jacket_Regular_56.jpg,180,180,Jacket_Regular,2,1,180,179
603,Jacket_Regular_57.jpg,144,186,Jacket_Regular,3,1,144,161
604,Jacket_Regular_58.jpg,98,152,Jacket_Regular,1,8,98,148
605,Jacket_Regular_59.jpg,148,180,Jacket_Regular,1,8,142,168
606,Jacket_Regular_60.jpg,128,176,Jacket_Regular,2,3,128,168
607,Jacket_Regular_61.jpg,168,244,Jacket_Regular,1,6,166,224
608,Jacket_Regular_62.jpg,158,178,Jacket_Regular,1,23,158,175
609,Jacket_Regular_64.jpg,134,168,Jacket_Regular,1,3,134,162
610,Jacket_Regular_65.jpg,180,170,Jacket_Regular,1,4,173,170
611,Jacket_Regular_66.jpg,158,168,Jacket_Regular,1,2,156,168
612,Jacket_Regular_67.jpg,182,200,Jacket_Regular,7,13,177,193
613,Jacket_Regular_68.jpg,98,122,Jacket_Regular,1,2,98,119
614,Jacket_Regular_69.jpg,124,108,Jacket_Regular,1,2,121,108
615,Jacket_Regular_7.jpg,1500,2250,Jacket_Regular,457,356,1125,1228
616,Jacket_Regular_70.jpg,180,248,Jacket_Regular,1,5,179,208
617,Jacket_Regular_71.jpg,164,186,Jacket_Regular,2,8,164,180
618,Jacket_Regular_72.jpg,640,640,Jacket_Regular,60,24,630,629
619,Jacket_Regular_73.jpg,900,1200,Jacket_Regular,220,329,740,989
620,Jacket_Regular_74.jpg,300,300,Jacket_Regular,25,16,285,300
621,Jacket_Regular_75.jpg,549,640,Jacket_Regular,61,49,491,585
622,Jacket_Regular_76.jpg,1000,1000,Jacket_Regular,162,30,792,841
623,Jacket_Regular_8.jpg,400,600,Jacket_Regular,4,187,400,595
624,Jacket_Regular_9.jpg,350,350,Jacket_Regular,47,22,309,324
625,Jacket_Regular_E1.jpg,1080,1440,Jacket_Regular,172,355,952,1353
626,Jacket_Regular_E2.jpg,208,242,Jacket_Regular,47,17,165,166
627,Jacket_Regular_E3.jpg,194,259,Jacket_Regular,31,25,175,210
628,Jacket_Regular_E4.jpg,182,277,Jacket_Regular,13,18,175,234
629,Jacket_Regular_E6.jpg,225,225,Jacket_Regular,13,32,205,216
630,Jacket_Regular_E7.jpg,225,225,Jacket_Regular,48,25,185,198
631,Jacket_Regular_E8.jpg,180,280,Jacket_Regular,3,64,156,262
632,Jacket_Regular_E9.jpg,194,259,Jacket_Regular,22,54,194,233
633,outfit_00021.jpg,459,675,Top_Casual,101,217,363,672
634,outfit_00022.jpg,449,675,Dress_Casual,137,147,313,526
635,outfit_00022.jpg,449,675,Sandal,219,555,269,612
636,outfit_00022.jpg,449,675,Sandal,173,547,225,621
637,outfit_00023.jpg,535,675,Top_Casual,44,162,268,558
638,outfit_00023.jpg,535,675,Top_Casual,319,115,514,414
639,outfit_00023.jpg,535,675,trouser_Slim,60,445,215,675
640,outfit_00023.jpg,535,675,trouser_Slim,334,352,477,446
641,outfit_00024.jpg,675,525,Top_Casual,200,175,453,517
642,outfit_00025.jpg,507,675,Top_Casual,99,150,397,547
643,outfit_00025.jpg,507,675,Skirt_Short,109,451,419,675
644,outfit_00026.jpg,675,489,T-Shirt_Regular,198,115,494,454
645,outfit_00027.jpg,675,489,T-Shirt_Regular,183,119,492,478
646,outfit_00028.jpg,675,489,T-Shirt_Regular,199,145,467,489
647,outfit_00029.jpg,675,489,T-Shirt_Regular,198,143,453,462
648,outfit_00030.jpg,675,489,T-Shirt_Regular,196,147,480,457
649,outfit_00031.jpg,675,489,T-Shirt_Regular,191,140,479,489
650,outfit_00032.jpg,675,489,T-Shirt_Regular,203,143,485,467
651,outfit_00033.jpg,675,489,T-Shirt_Regular,185,132,492,489
652,outfit_00034.jpg,675,489,T-Shirt_Regular,204,144,484,465
653,outfit_00035.jpg,675,489,T-Shirt_Regular,190,128,508,480
654,outfit_00036.jpg,675,489,T-Shirt_Regular,200,142,474,475
655,outfit_00037.jpg,296,675,T-Shirt_LongSleeves,11,108,278,359
656,outfit_00037.jpg,296,675,trouser_Slim,1,417,274,675
657,outfit_00038.jpg,484,675,Top_Casual,149,106,381,280
658,outfit_00038.jpg,484,675,Skirt_Short,169,231,338,538
661,outfit_00039.jpg,450,675,T-Shirt_LongSleeves,38,236,277,436
662,outfit_00040.jpg,449,675,Top_Casual,73,162,370,614
663,outfit_00041.jpg,338,675,Top_Casual,84,144,249,367
665,outfit_00042.jpg,450,675,Shirt_LongSleeves,85,155,341,462
667,outfit_00043.jpg,530,675,Top_Casual,83,186,517,651
668,outfit_00044.jpg,297,675,Dress_Casual,60,109,253,498
671,outfit_00045.jpg,507,675,Dress_Casual,159,162,380,580
672,outfit_00046.jpg,452,675,Shirt_LongSleeves,196,164,361,395
673,outfit_00046.jpg,452,675,trouser_Denim,208,341,342,608
674,outfit_00047.jpg,450,675,trouser_Denim,166,323,334,588
675,outfit_00047.jpg,450,675,Top_Casual,172,184,305,372
678,outfit_00048.jpg,450,675,Top_Casual,111,149,414,568
679,outfit_00049.jpg,450,600,Top_Casual,124,141,315,313
680,outfit_00049.jpg,450,600,Skirt_Short,133,277,342,455
681,outfit_00050.jpg,240,360,Top_Casual,87,119,169,225
683,outfit_00051.jpg,240,360,Top_Casual,84,115,164,175
684,outfit_00051.jpg,240,360,Skirt_Short,93,166,157,241
685,outfit_00052.jpg,239,360,Top_Casual,6,105,141,261
687,outfit_00052.jpg,239,360,Tie,129,101,171,235
688,outfit_00053.jpg,450,675,T-Shirt_LongSleeves,69,134,260,401
689,outfit_00053.jpg,450,675,T-Shirt_Regular,226,151,405,398
690,outfit_00053.jpg,450,675,Skirt_Short,80,327,253,543
691,outfit_00053.jpg,450,675,trouser_Denim,247,351,402,628
696,outfit_00054.jpg,770,691,Dress_Party,1,144,341,677
697,outfit_00055.jpg,486,648,Dress_Casual,60,16,432,644
698,outfit_00056.jpg,202,202,Dress_Casual,11,1,192,198
699,outfit_00057.jpg,165,248,Dress_Casual,21,45,142,235
700,outfit_00058.jpg,165,248,Dress_Casual,48,67,142,247
701,outfit_00059.jpg,922,614,Dress_Casual,475,118,706,438
702,outfit_00060.jpg,175,233,Top_Casual,28,57,136,222
703,outfit_00061.jpg,248,165,Dress_Party,74,12,199,165
704,outfit_00062.jpg,165,248,Dress_Casual,29,82,165,241
705,outfit_00063.jpg,165,248,Dress_Casual,32,45,141,248
706,outfit_00064.jpg,506,691,Dress_Casual,161,188,439,691
707,outfit_00065.jpg,240,170,Dress_Casual,106,39,173,146
708,outfit_00066.jpg,165,248,Dress_Casual,34,57,152,247
709,outfit_00069.jpg,450,369,Dress_Party,69,58,162,184
710,outfit_00069.jpg,450,369,Dress_Casual,52,231,144,361
711,outfit_00070.jpg,432,648,Dress_Casual,69,224,330,610
712,outfit_00071.jpg,175,233,Dress_Casual,48,41,141,195
713,outfit_00072.jpg,165,248,Dress_Casual,7,66,144,247
714,outfit_00074.jpg,560,691,Dress_Party,24,170,263,691
715,outfit_00075.jpg,178,229,Dress_Casual,24,47,161,224
716,outfit_00076.jpg,207,284,trouser_Denim,71,133,146,268
717,outfit_00076.jpg,207,284,Jacket_Regular,40,40,161,170
718,outfit_00077.jpg,864,605,T-Shirt_Regular,547,90,731,251
719,outfit_00077.jpg,864,605,trouser_Denim,598,228,767,523
720,outfit_00077.jpg,864,605,T-Shirt_Regular,126,164,409,586
723,outfit_00078.jpg,553,691,Shirt_LongSleeves,2,126,490,355
724,outfit_00078.jpg,553,691,trouser_Denim,84,301,457,681
725,outfit_00079.jpg,413,482,Shirt_Regular,131,65,266,264
726,outfit_00079.jpg,413,482,trouser_Denim,147,214,264,444
729,outfit_00081.jpg,691,691,Jacket_Regular,227,52,488,361
730,outfit_00081.jpg,691,691,trouser_Slim,292,309,453,632
733,outfit_00083.jpg,146,281,Shirt_LongSleeves,34,34,119,146
734,outfit_00083.jpg,146,281,trouser_Slim,39,129,109,253
735,outfit_00084.jpg,165,248,T-Shirt_LongSleeves,13,50,82,128
736,outfit_00084.jpg,165,248,trouser_Denim,20,110,96,204
737,outfit_00085.jpg,165,248,T-Shirt_Regular,41,35,117,128
739,outfit_00086.jpg,165,248,Shirt_LongSleeves,42,28,135,144
740,outfit_00086.jpg,165,248,trouser_Denim,57,99,112,231
741,outfit_00087.jpg,248,165,T-Shirt_LongSleeves,68,23,122,86
742,outfit_00087.jpg,248,165,trouser_Denim,113,74,147,151
743,outfit_00088.jpg,165,248,trouser_Denim,73,113,118,222
744,outfit_00088.jpg,165,248,T-Shirt_Regular,69,54,120,133
745,outfit_00089.jpg,165,248,Jacket_Regular,23,46,102,143
746,outfit_00089.jpg,165,248,trouser_Denim,49,111,118,226
747,outfit_00090.jpg,256,159,trouser_Denim,148,59,197,149
748,outfit_00091.jpg,181,226,trouser_Slim,74,95,152,194
749,outfit_00091.jpg,181,226,Shirt_LongSleeves,72,29,144,114
750,outfit_00092.jpg,519,691,Shirt_LongSleeves,100,103,409,497
751,outfit_00092.jpg,519,691,trouser_Denim,148,409,367,658
752,outfit_00093.jpg,459,691,Shirt_LongSleeves,78,154,392,543
753,outfit_00093.jpg,459,691,trouser_Denim,123,447,388,691
754,outfit_00094.jpg,414,551,T-Shirt_Regular,54,92,228,259
755,outfit_00094.jpg,414,551,trouser_Denim,60,214,218,457
756,outfit_00094.jpg,414,551,trouser_Denim,230,245,402,514
759,outfit_00095.jpg,522,691,Shirt_Polo,25,2,514,691
760,outfit_00096.jpg,248,165,Shirt_LongSleeves,49,14,193,163
761,outfit_00097.jpg,461,691,Shirt_LongSleeves,117,152,342,463
763,outfit_00098.jpg,461,691,Shirt_LongSleeves,54,241,351,614
764,outfit_00099.jpg,325,407,Shirt_Regular,123,88,325,364
765,outfit_00100.jpg,630,630,Shirt_LongSleeves,78,11,572,606
768,outfit_00103.jpg,248,165,trouser_Denim,148,86,242,165
769,outfit_00104.jpg,346,346,trouser_Denim,132,146,211,317
770,outfit_00104.jpg,346,346,Coat_Regular,103,41,237,188
771,outfit_00104.jpg,346,346,Shirt_Regular,151,47,199,171
774,outfit_00105.jpg,173,236,trouser_Denim,22,5,156,236
775,outfit_00106.jpg,248,165,trouser_Denim,97,8,246,165
779,outfit_00108.jpg,702,562,Coat_Regular,93,145,290,318
780,outfit_00108.jpg,702,562,Skirt_Short,143,262,269,405
783,outfit_00108.jpg,702,562,Tie,380,165,429,301
786,outfit_00108.jpg,702,562,Sandal,164,454,220,519
800,outfit_00110.jpg,920,615,Coat_Regular,393,260,516,401
806,outfit_00111.jpg,922,568,Dress_Formal,83,113,233,401
807,outfit_00111.jpg,922,568,Dress_Casual,718,90,886,420
819,outfit_00111.jpg,922,568,Tie,282,100,327,269
820,outfit_00111.jpg,922,568,Tie,427,126,475,236
821,outfit_00111.jpg,922,568,Tie,609,108,651,210
823,outfit_00112.jpg,720,496,trouser_Denim,405,43,563,455
824,outfit_00113.jpg,576,384,Shirt_LongSleeves,96,73,212,197
825,outfit_00113.jpg,576,384,Shirt_Regular,212,116,308,209
827,outfit_00113.jpg,576,384,Shirt_Regular,435,97,511,166
832,outfit_00114.jpg,922,626,Coat_Regular,79,122,250,369
833,outfit_00114.jpg,922,626,Coat_Regular,400,108,576,344
838,outfit_00115.jpg,922,682,Top_Casual,88,144,292,390
839,outfit_00115.jpg,922,682,Top_Casual,395,204,559,387
840,outfit_00115.jpg,922,682,Top_Casual,665,186,863,387
841,outfit_00115.jpg,922,682,trouser_Denim,65,344,303,604
842,outfit_00115.jpg,922,682,trouser_Slim,397,340,543,556
843,outfit_00115.jpg,922,682,trouser_Denim,664,321,844,556
848,outfit_00115.jpg,922,682,Sandal,450,530,502,601
849,outfit_00116.jpg,922,615,trouser_Denim,125,70,259,402
850,outfit_00116.jpg,922,615,trouser_Denim,1,107,105,406
851,outfit_00116.jpg,922,615,trouser_Slim,486,94,623,385
854,outfit_00116.jpg,922,615,trouser_Denim,642,86,794,389
866,outfit_00117.jpg,248,165,Shirt_Regular,42,37,103,95
867,outfit_00117.jpg,248,165,trouser_Denim,45,86,100,148
868,outfit_00117.jpg,248,165,trouser_Denim,116,77,198,149
869,outfit_00117.jpg,248,165,Shirt_Regular,148,25,210,104
870,outfit_00118.jpg,202,202,Shirt_LongSleeves,77,37,134,102
873,outfit_00120.jpg,629,648,Coat_Regular,54,113,311,393
874,outfit_00120.jpg,629,648,Coat_Regular,330,115,583,384
877,Sandal_10.jpg,275,183,Sandal,87,57,148,120
878,Sandal_10.jpg,275,183,Sandal,140,107,204,183
879,Sandal_13.jpg,246,205,Sandal,62,159,110,191
880,Sandal_13.jpg,246,205,Sandal,135,158,185,192
881,Sandal_14.jpg,278,182,Sandal,3,8,272,165
882,Sandal_15.jpg,1280,720,Sandal,9,143,402,660
883,Sandal_15.jpg,1280,720,Sandal,350,345,850,619
884,Sandal_15.jpg,1280,720,Sandal,801,382,1263,720
885,Sandal_15.jpg,1280,720,Sandal,808,37,1128,491
886,Sandal_16.jpg,800,800,Sandal,149,132,402,675
887,Sandal_16.jpg,800,800,Sandal,395,423,745,771
888,Sandal_17.jpg,980,735,Sandal,174,187,407,604
889,Sandal_17.jpg,980,735,Sandal,462,208,714,585
890,Sandal_2.jpg,736,1196,Sandal,19,225,332,425
891,Sandal_2.jpg,736,1196,Sandal,399,225,707,427
892,Sandal_2.jpg,736,1196,Sandal,18,433,362,629
893,Sandal_2.jpg,736,1196,Sandal,388,427,727,611
894,Sandal_2.jpg,736,1196,Sandal,23,638,336,801
895,Sandal_2.jpg,736,1196,Sandal,395,622,721,783
896,Sandal_2.jpg,736,1196,Sandal,18,831,345,988
897,Sandal_2.jpg,736,1196,Sandal,405,818,710,983
898,Sandal_2.jpg,736,1196,Sandal,399,1009,721,1163
899,Sandal_2.jpg,736,1196,Sandal,7,992,323,1174
900,Sandal_3.jpg,1000,1000,Sandal,156,450,590,935
901,Sandal_3.jpg,1000,1000,Sandal,462,404,949,840
902,Sandal_5.jpg,183,275,Sandal,12,57,93,197
903,Sandal_5.jpg,183,275,Sandal,95,144,166,228
904,Sandal_6.jpg,202,250,Sandal,15,14,87,180
905,Sandal_6.jpg,202,250,Sandal,101,101,189,219
906,Sandal_7.jpg,225,225,Sandal,40,111,193,195
907,Sandal_7.jpg,225,225,Sandal,85,64,192,126
908,Sandal_8.jpg,225,225,Sandal,13,66,225,215
909,Sandal_8.jpg,225,225,Sandal,4,7,160,117
910,Sandal_9.jpg,225,225,Sandal,41,97,128,199
911,Sandal_9.jpg,225,225,Sandal,127,82,218,200
912,Shirt_0001.jpg,440,660,Shirt_LongSleeves,58,151,379,558
913,Shirt_0001.jpg,440,660,trouser_Denim,105,501,338,660
914,Shirt_00010.jpg,282,363,Shirt_LongSleeves,57,87,233,330
915,Shirt_00011.jpg,282,363,Shirt_Regular,38,79,238,320
916,Shirt_0002.jpg,440,660,Shirt_LongSleeves,43,136,379,548
917,Shirt_00026.jpg,248,338,Shirt_Polo,37,76,220,330
918,Shirt_0003.jpg,300,400,Shirt_Regular,39,95,258,389
919,Shirt_0004.jpg,580,768,Shirt_Polo,45,4,570,768
920,Shirt_0005.jpg,208,242,Shirt_Polo,24,4,183,231
921,Shirt_0006.jpg,201,251,Shirt_Polo,1,4,201,245
922,Shirt_0007.jpg,218,232,Shirt_Polo,37,1,187,197
923,Shirt_0008.jpg,512,768,Shirt_LongSleeves,132,92,376,393
924,Shirt_0008.jpg,512,768,trouser_Denim,174,334,349,722
927,Shirt_0009.jpg,194,259,Shirt_LongSleeves,25,64,174,248
928,Shirt_0012.jpg,282,614,Shirt_Polo,6,129,282,489
929,Shirt_0013.jpg,259,194,Shirt_Polo,108,4,235,188
930,Shirt_0013.jpg,259,194,Shirt_Polo,17,2,88,89
931,Shirt_0013.jpg,259,194,Shirt_Polo,20,102,91,191
932,Shirt_0014.jpg,219,230,Shirt_Polo,5,49,204,228
933,Shirt_0015.jpg,282,547,Shirt_Polo,9,118,269,490
934,Shirt_0016.jpg,159,318,Shirt_LongSleeves,2,63,156,264
935,Shirt_0018.jpg,205,246,Shirt_Regular,39,54,174,232
936,Shirt_0019.jpg,199,253,Shirt_LongSleeves,1,36,191,252
937,Shirt_0021.jpg,187,270,Shirt_LongSleeves,50,31,136,134
941,Shirt_0022.jpg,620,589,Shirt_LongSleeves,76,156,572,562
942,Shirt_0022.jpg,620,589,Tie,271,193,402,583
943,Shirt_0023.jpg,259,194,Shirt_LongSleeves,115,26,199,111
944,Shirt_0023.jpg,259,194,trouser_Denim,130,94,190,194
945,Shirt_0024.jpg,538,367,Shirt_Polo,14,1,239,322
946,Shirt_0024.jpg,538,367,Shirt_Polo,288,4,536,355
947,Shirt_0025.jpg,225,225,Shirt_Regular,2,103,218,225
948,Shirt_0027.jpg,248,338,Shirt_LongSleeves,51,80,220,289
949,Shirt_0027.jpg,248,338,trouser_Slim,57,249,211,338
950,Shirt_0028.jpg,194,259,Shirt_Polo,28,77,165,259
951,Shirt_0029.jpg,360,360,Shirt_LongSleeves,42,109,295,360
952,Shirt_0030.jpg,536,536,T-Shirt_Regular,144,151,391,528
953,Shirt_0030.jpg,536,536,T-Shirt_LongSleeves,361,151,536,485
954,Shirt_0030.jpg,536,536,T-Shirt_LongSleeves,1,146,175,517
955,Shirt_0031.jpg,273,185,Shirt_LongSleeves,62,74,228,185
956,Shirt_0032.jpg,768,768,Shirt_LongSleeves,177,186,602,705
957,Shirt_0033.jpg,199,253,Shirt_LongSleeves,2,69,197,252
958,Shirt_0034.jpg,248,338,Shirt_LongSleeves,34,72,196,288
960,Shirt_0035.jpg,201,251,Shirt_Polo,34,72,166,246
961,Shirt_0036.jpg,480,640,Shirt_LongSleeves,114,100,334,292
963,Shirt_0037.jpg,400,400,Shirt_LongSleeves,70,147,371,400
964,Shirt_0038.jpg,225,225,Shirt_Polo,57,63,172,217
965,Shirt_0039.jpg,960,580,Shirt_LongSleeves,9,71,232,309
969,Shirt_0039.jpg,960,580,Shirt_Regular,666,123,937,452
971,Shirt_0039.jpg,960,580,Shirt_Polo,284,133,576,455
973,Shirt_0040.jpg,602,376,Shirt_LongSleeves,22,49,150,191
974,Shirt_0040.jpg,602,376,Shirt_LongSleeves,171,47,288,194
975,Shirt_0040.jpg,602,376,Shirt_LongSleeves,312,45,438,187
976,Shirt_0040.jpg,602,376,Shirt_LongSleeves,459,43,582,192
989,Shirt_0041.jpg,201,251,Shirt_LongSleeves,57,36,152,145
990,Shirt_0041.jpg,201,251,trouser_Denim,41,113,127,239
991,Shirt_0042.jpg,259,194,Shirt_Regular,50,78,259,191
992,Shirt_0043.jpg,268,188,Shirt_LongSleeves,77,48,175,187
995,Shirt_0043.jpg,268,188,Tie,192,72,228,173
996,Shirt_0043.jpg,268,188,Tie,15,60,59,184
997,Shirt_0044.jpg,225,225,Shirt_LongSleeves,31,16,180,210
998,Shirt_0045.jpg,525,350,Shirt_LongSleeves,77,130,346,283
999,Shirt_0045.jpg,525,350,Tie,189,145,264,272
1001,Shirt_0046.jpg,355,142,Shirt_Regular,32,39,170,137
1002,Shirt_0047.jpg,190,266,Shirt_LongSleeves,27,104,189,234
1003,Shirt_0048.jpg,219,231,Shirt_LongSleeves,9,86,180,225
1004,Shirt_0048.jpg,219,231,Tie,72,107,136,223
1005,Shirt_0049.jpg,459,535,Shirt_LongSleeves,158,64,320,271
1009,Shirt_0050.jpg,360,480,Shirt_Regular,24,30,337,439
1010,Shirt_0051.jpg,225,225,Shirt_Polo,45,74,194,225
1011,Shirt_LongSleeves_1.jpg,188,234,Shirt_LongSleeves,5,4,184,222
1012,Shirt_LongSleeves_11.jpg,196,256,Shirt_LongSleeves,5,42,196,244
1013,Shirt_LongSleeves_12.jpg,94,138,Shirt_LongSleeves,1,11,94,133
1014,Shirt_LongSleeves_13.jpg,170,170,Shirt_LongSleeves,1,6,170,167
1015,Shirt_LongSleeves_14.jpg,170,240,Shirt_LongSleeves,46,26,153,127
1016,Shirt_LongSleeves_15.jpg,104,122,Shirt_LongSleeves,1,1,103,119
1017,Shirt_LongSleeves_16.jpg,164,212,Shirt_LongSleeves,1,3,164,192
1018,Shirt_LongSleeves_17.jpg,200,270,Shirt_LongSleeves,1,5,191,248
1019,Shirt_LongSleeves_18.jpg,96,108,Shirt_LongSleeves,1,2,96,107
1020,Shirt_LongSleeves_19.jpg,96,114,Shirt_LongSleeves,1,2,96,110
1021,Shirt_LongSleeves_2.jpg,120,254,Shirt_LongSleeves,14,7,120,128
1022,Shirt_LongSleeves_21.jpg,182,212,Shirt_LongSleeves,1,1,181,212
1023,Shirt_LongSleeves_22.jpg,118,168,Shirt_LongSleeves,1,3,117,159
1024,Shirt_LongSleeves_23.jpg,270,246,Shirt_LongSleeves,1,1,270,234
1025,Shirt_LongSleeves_24.jpg,130,168,Shirt_LongSleeves,1,1,130,127
1026,Shirt_LongSleeves_25.jpg,178,226,Shirt_LongSleeves,1,47,178,221
1027,Shirt_LongSleeves_26.jpg,180,172,Shirt_LongSleeves,1,36,180,171
1028,Shirt_LongSleeves_27.jpg,116,134,Shirt_LongSleeves,1,1,116,129
1029,Shirt_LongSleeves_28.jpg,162,216,Shirt_LongSleeves,1,2,162,158
1030,Shirt_LongSleeves_3.jpg,210,226,Shirt_LongSleeves,1,1,210,215
1031,Shirt_LongSleeves_32.jpg,228,228,Shirt_LongSleeves,1,1,228,221
1032,Shirt_LongSleeves_33.jpg,104,110,Shirt_LongSleeves,1,2,103,109
1033,Shirt_LongSleeves_34.jpg,152,244,Shirt_LongSleeves,1,41,152,237
1034,Shirt_LongSleeves_5.jpg,166,266,Shirt_LongSleeves,1,51,166,235
1035,Shirt_LongSleeves_6.jpg,178,224,Shirt_LongSleeves,1,1,176,222
1036,Shirt_LongSleeves_7.jpg,148,194,Shirt_LongSleeves,1,2,146,194
1037,Shirt_LongSleeves_8.jpg,198,250,Shirt_LongSleeves,1,1,198,236
1038,Shirt_LongSleeves_9.jpg,140,204,Shirt_LongSleeves,10,5,138,181
1039,Shirt_Polo_10.jpg,197,256,Shirt_Polo,31,23,186,234
1040,Shirt_Polo_11.jpg,225,225,Shirt_Polo,6,4,203,188
1041,Shirt_Polo_12.jpg,194,259,Shirt_Polo,25,49,165,219
1042,Shirt_Polo_13.jpg,183,275,Shirt_Polo,32,69,151,234
1043,Shirt_Polo_14.jpg,142,258,Shirt_Polo,5,30,142,240
